Conf, Case Study, Verification Time, Number Of Verif. Phases, Iterations in Verif Phase
G_OVI, AV10_10_1, 2.636, 1, 1
G_OVI, AV10_10_2, 197.201, 2, 33
G_OVI, AV10_10_3, 127.709, 3, 13
G_OVI, AV15_15_1, 6.162, 1, 1
G_OVI, AV15_15_2, 0, 0, 0
G_OVI, AV15_15_3, 628.815, 2, 33
G_OVI, adt, 0.109, 1, 4
G_OVI, cdmsn, 0.15, 1, 1
G_OVI, charlton1, 0.121, 1, 1
G_OVI, charlton2, 0.206, 1, 8
G_OVI, cloud5, 1.671, 1, 2
G_OVI, cloud6, 6.539, 1, 3
G_OVI, coins, 0.033, 1, 1
G_OVI, dice100, 321.393, 1, 71
G_OVI, dice150, 507.944, 1, 148
G_OVI, dice50, 22.307, 1, 3
G_OVI, hallway10_10_1, 28.766, 1, 1
G_OVI, hallway10_10_2, 9.607, 1, 1
G_OVI, hallway15_15_1, 130.437, 1, 1
G_OVI, hallway15_15_2, 32.384, 1, 1
G_OVI, mdsm1, 9.682, 1, 12
G_OVI, mdsm2, 0.772, 1, 1
G_OVI, prison_dil, 0.059, 1, 1
G_OVI, teamform3, 0.692, 1, 1
G_OVI, teamform4, 2.204, 1, 1
G_OVI, two_investors, 56.411, 2, 48
OPT_OVI, AV10_10_1, 2.474, 1, 1
OPT_OVI, AV10_10_2, 193.504, 2, 50
OPT_OVI, AV10_10_3, 122.756, 3, 32
OPT_OVI, AV15_15_1, 6.447, 1, 1
OPT_OVI, AV15_15_2, 0, 0, 0
OPT_OVI, AV15_15_3, 615.937, 2, 44
OPT_OVI, adt, 0.108, 1, 4
OPT_OVI, cdmsn, 0.233, 1, 1
OPT_OVI, charlton1, 0.155, 1, 2
OPT_OVI, charlton2, 0.229, 1, 22
OPT_OVI, cloud5, 1.843, 1, 3
OPT_OVI, cloud6, 6.4, 1, 3
OPT_OVI, coins, 0.066, 1, 1
OPT_OVI, dice100, 396.99, 2, 127
OPT_OVI, dice150, 744.984, 2, 295
OPT_OVI, dice50, 25.378, 1, 3
OPT_OVI, hallway10_10_1, 33.535, 1, 1
OPT_OVI, hallway10_10_2, 11.795, 1, 1
OPT_OVI, hallway15_15_1, 182.451, 1, 1
OPT_OVI, hallway15_15_2, 41.09, 1, 1
OPT_OVI, mdsm1, 11.42, 1, 12
OPT_OVI, mdsm2, 1.151, 1, 1
OPT_OVI, prison_dil, 0.104, 1, 1
OPT_OVI, teamform3, 1.002, 1, 1
OPT_OVI, teamform4, 2.598, 1, 1
OPT_OVI, two_investors, 60.056, 2, 82
OVI, AV10_10_1, 2.063, 1, 1
OVI, AV10_10_2, 189.868, 2, 50
OVI, AV10_10_3, 131.729, 3, 32
OVI, AV15_15_1, 7.318, 1, 1
OVI, AV15_15_2, 0, 1, 0
OVI, AV15_15_3, 664.915, 2, 44
OVI, adt, 0.076, 1, 4
OVI, cdmsn, 0.165, 1, 1
OVI, charlton1, 0.141, 1, 2
OVI, charlton2, 0.238, 1, 22
OVI, cloud5, 1.555, 1, 3
OVI, cloud6, 7.866, 1, 3
OVI, coins, 0.026, 1, 1
OVI, dice100, 389.045, 2, 127
OVI, dice150, 709.376, 2, 295
OVI, dice50, 21.046, 1, 3
OVI, hallway10_10_1, 36.506, 1, 1
OVI, hallway10_10_2, 9.862, 1, 1
OVI, hallway15_15_1, 207.006, 1, 1
OVI, hallway15_15_2, 38.209, 1, 1
OVI, mdsm1, 12.251, 1, 12
OVI, mdsm2, 1.328, 1, 1
OVI, prison_dil, 0.072, 1, 1
OVI, teamform3, 0.853, 1, 1
OVI, teamform4, 2.806, 1, 1
OVI, two_investors, 65.141, 2, 82
TOP_OVI, AV10_10_1, 2.653, 0, 0
TOP_OVI, AV10_10_2, 0, 2, 50
TOP_OVI, AV10_10_3, 0, 3, 32
TOP_OVI, AV15_15_1, 6.839, 0, 0
TOP_OVI, AV15_15_2, 0, 0, 0
TOP_OVI, AV15_15_3, 0, 0, 0
TOP_OVI, adt, 0.125, 0, 0
TOP_OVI, cdmsn, 0.177, 0, 0
TOP_OVI, charlton1, 0.171, 0, 0
TOP_OVI, charlton2, 0.65, 1, 22
TOP_OVI, cloud5, 0, 132, 1
TOP_OVI, cloud6, 0, 33, 1
TOP_OVI, coins, 0.129, 0, 0
TOP_OVI, dice100, 511.22, 0, 0
TOP_OVI, dice150, 0, 0, 0
TOP_OVI, dice50, 24.956, 0, 0
TOP_OVI, hallway10_10_1, 44.504, 0, 0
TOP_OVI, hallway10_10_2, 43.522, 0, 0
TOP_OVI, hallway15_15_1, 164.734, 0, 0
TOP_OVI, hallway15_15_2, 694.975, 0, 0
TOP_OVI, mdsm1, 16.666, 0, 0
TOP_OVI, mdsm2, 1.154, 0, 0
TOP_OVI, prison_dil, 0.077, 0, 0
TOP_OVI, teamform3, 1.017, 0, 0
TOP_OVI, teamform4, 2.876, 0, 0
TOP_OVI, two_investors, 467.82, 11, 1
T_OVI, AV10_10_1, 3.192, 0, 0
T_OVI, AV10_10_2, 189.995, 4, 1
T_OVI, AV10_10_3, 133.184, 3, 54
T_OVI, AV15_15_1, 6.27, 0, 0
T_OVI, AV15_15_2, 0, 0, 0
T_OVI, AV15_15_3, 584.164, 3, 48
T_OVI, adt, 0.075, 0, 0
T_OVI, cdmsn, 0.207, 0, 0
T_OVI, charlton1, 0.161, 0, 0
T_OVI, charlton2, 0.277, 1, 22
T_OVI, cloud5, 1.8, 260, 1
T_OVI, cloud6, 23.51, 1088, 1
T_OVI, coins, 0.053, 0, 0
T_OVI, dice100, 288.126, 0, 0
T_OVI, dice150, 451.572, 0, 0
T_OVI, dice50, 23.424, 0, 0
T_OVI, hallway10_10_1, 36.527, 0, 0
T_OVI, hallway10_10_2, 11.951, 0, 0
T_OVI, hallway15_15_1, 193.61, 0, 0
T_OVI, hallway15_15_2, 44.784, 0, 0
T_OVI, mdsm1, 9.753, 0, 0
T_OVI, mdsm2, 1.042, 0, 0
T_OVI, prison_dil, 0.106, 0, 0
T_OVI, teamform3, 0.799, 0, 0
T_OVI, teamform4, 3.215, 0, 0
T_OVI, two_investors, 44.768, 12, 1
