Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_OVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV10_10_2,106524,0.9999993049204932,0.9999993049204932,0.9999996622376023,0.9999993049204932,0.9999999576868746,0.9999992504741452,0.9999993049204932,0.9999999576868746,0.9999991118574816,0.9999999576893492,0.9999999576868746,0.9999999576868746,0.9999999578163292,,0.9999989959469745,,,,,0.9999999575286058,0.9999999576893494,0.09999998808536295,,,0.9999999570854503,0.9999993049204932
AV10_10_3,106524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0
AV15_15_1,480464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV15_15_2,480464,,,,,,,,,,,,0.9999999999999019,,,,,,,,,,,,,,
AV15_15_3,480464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,
adt,305,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.0,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,,0.022950000000000005,0.022950000000000005
cdmsn,1240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
charlton1,502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
charlton2,502,0.9476067836642807,0.9476066208001244,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476066226457354,0.9476066208001244,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476066226457354,0.9476067836642807,0.9476067836642807,0.6393581462984906,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,,0.9476067836642807,0.9476066208001244
cloud5,8842,0.9999980009999999,0.9999980009999999,0.9999980000010009,0.999998999000001,0.9999980009999999,0.9999980000010009,0.9999980009999999,0.999998998002999,0.9999980009999999,0.999998999000001,0.9999980009999999,0.9999980009999999,0.9999989989990049,0.9999989990000009,0.9999980009999999,0.9999987490005017,,,0.9999987490005017,0.9999980009999999,0.999998999000001,0.999000998001,0.9999989990000009,,0.9999980009999999,0.999998998002999
cloud6,34954,0.9998980299,0.9998980299,0.9998980299,0.999899000101,0.9998980299,0.9998980299,0.9998980299,0.99989899049601,0.9998989808900499,0.9998990001009999,0.9998980299,0.9998980299,0.9998990001989999,,0.9998989808900499,0.999899000101,,,,0.9998988933685441,0.9998990001009999,0.990009899019703,0.9998990001009999,,0.9998980299,0.9998990000059105
coins,19,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,,0.75,0.75
dice100,554395,0.40394687615676683,0.40394687615676683,0.4039463936368627,0.40394687615676683,0.40394687616909825,0.4039463936368627,0.40394687615676683,0.4039468761649685,0.4039463936368627,0.40394687616909825,0.40394687616909825,0.40394687616909825,0.4039468761649685,,0.4039463936368627,0.40394687615134095,0.40394687615134095,0.0,0.40394687615134095,0.40394687616909825,0.40394687616909825,0.40394687616909825,0.40394687616909825,,0.4039468761649685,0.40394618142189803
dice150,1236595,0.4039468761690969,0.4039468761690969,0.4039463936368627,0.4039468761690969,0.40394687616909825,0.4039463936368627,0.4039468761690969,0.4039468761690978,0.4039463936368627,,0.40394687616909825,0.40394687616909825,0.40394687616909547,,0.4039463936368627,,,,,0.40394687616909825,0.40394687616909825,0.40394687616909825,0.40394687616909825,,0.4039468761690978,0.40394618142189803
dice50,96295,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090238,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.0,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,,0.8332936693090242,0.8332936693090242
hallway10_10_1,400000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hallway10_10_2,400000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
hallway15_15_1,2025000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hallway15_15_2,2025000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
mdsm1,62245,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890681632263238,0.9890682665738919,0.9890681632263238,0.9890681632263238,0.989068323673876,,0.9890681632263238,0.9890682665738919,0.9890682665738919,0.0,0.9890682665738919,0.9890682665738919,0.9890682665738919,0.9890682665738919,0.9890682665738919,,0.9890681632263238,0.9890677202808735
mdsm2,62245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prison_dil,102,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333
teamform3,12476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
teamform4,96666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
two_investors,172240,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,0.480298005,,0.480298005,,0.480298005,,,0.480298005,0.480298005,0.480298005,,,0.480298005,0.480298005
